No,Jenis BMN,Kode Satker,Nama Satker,Kode Barang,NUP,Nama Barang,Merk,Tipe,Kondisi,Nama,Tanggal Perolehan,Nilai Perolehan,Nilai Buku,Status Penggunaan,gps_latitude,gps_longitude,Alamat,RT/RW,Kelurahan/Desa,Kecamatan,Kab/Kota,Provinsi,Nama K/L,Kode Register,KELOMPOK BMN,Kelompok Indeks,Indeks Total,Start_date,Nilai Premi
63,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,56,Rumah Negara Golongan I Tipe A Permanen,Komplek RJA DPR RI Kalibata Blok AA-4,Permanen,Baik,Komplek RJA DPR RI Kalibata Blok AA-4 Permanen,2010-03-01,"886.806.000,00",730310820,Digunakan sendiri untuk dinas jabatan,,,Komplek RJA DPR RI Kalibata AA-4,Rw.05 khusus,Rawajati,Pancoran,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784A7CA3B30BE0531561F20A4B72,BMN PENGADAAN BARU,2,"0,3",,"1739026,566"
64,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,57,Rumah Negara Golongan I Tipe A Permanen,Komplek RJA DPR RI Kalibata Blok AA-5,Permanen,Baik,Komplek RJA DPR RI Kalibata Blok AA-5 Permanen,2010-03-01,"886.806.000,00",730310820,Digunakan sendiri untuk dinas jabatan,,,Komplek RJA DPR RI Kalibata AA-5,Rw.05 khusus,Rawajati,Pancoran,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784B85A0B30BE0531561F20A4B72,BMN PENGADAAN BARU,2,"0,3",,"1739026,566"
65,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,58,Rumah Negara Golongan I Tipe A Permanen,Komplek RJA DPR RI Kalibata Blok AA-6,Permanen,Baik,Komplek RJA DPR RI Kalibata Blok AA-6 Permanen,2010-03-01,"886.806.000,00",730310820,Digunakan sendiri untuk dinas jabatan,,,Komplek RJA DPR RI Kalibata AA-6,Rw.05 khusus,Rawajati,Pancoran,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED7848A997B30BE0531561F20A4B72,BMN PENGADAAN BARU,2,"0,3",,"1739026,566"
97,RUMAH NEGARA,004010100662745000KD,BPK PERWAKILAN PROVINSI DKI JAKARTA,4010201010,7,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Eselon IV,56,Baik,Rumah Dinas Eselon IV 56,2007-11-07,"155.922.000,00",101573245,Digunakan sendiri untuk operasional,,,Jati Padang Poncol III,003/08,JATIPADANG,PASAR MINGGU,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E10637F36208BCFBE0531261F20A107D,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"305763,042"
102,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,2,Rumah Negara Golongan I Tipe A Permanen,RUMAH DINAS ESL I JGOLO,RUMAH JABATAN,Baik,RUMAH DINAS ESL I JGOLO RUMAH JABATAN,2007-12-18,"993.019.070,00",808324018,Digunakan sendiri untuk operasional,,,RAYA JOGLO,KAV NO.1,SRENGSENG,KEMBANGAN,KOTA JAKARTA BARAT,DKI JAKARTA,"0,5",E2AA275BFF3D2BB7E0531561F20A8614,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"1947310,396"
103,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,3,Rumah Negara Golongan I Tipe A Permanen,RUMAH DINAS ESL I JGOLO,RUMAH JABATAN,Baik,RUMAH DINAS ESL I JGOLO RUMAH JABATAN,2007-12-18,"922.683.000,00",768905506,Digunakan sendiri untuk operasional,,,RAYA JOGLO,KAV NO.2,SRENGSENG,KEMBANGAN,KOTA JAKARTA BARAT,DKI JAKARTA,"0,5",E2AA275BFF682BB7E0531561F20A8614,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"1809381,363"
104,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,4,Rumah Negara Golongan I Tipe A Permanen,RUMAH DINAS ESL I JGOLO,RUMAH JABATAN,Baik,RUMAH DINAS ESL I JGOLO RUMAH JABATAN,2007-12-18,"734.514.000,00",611094619,Digunakan sendiri untuk operasional,,,RAYA JOGLO,KAV NO.3,SRENGSENG,KEMBANGAN,KOTA JAKARTA BARAT,DKI JAKARTA,"0,5",E2AA275BFF6D2BB7E0531561F20A8614,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"1440381,954"
106,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,6,Rumah Negara Golongan I Tipe A Permanen,RUMAH DINAS ESL I JGOLO,RUMAH JABATAN,Baik,RUMAH DINAS ESL I JGOLO RUMAH JABATAN,2007-12-18,"809.533.000,00",663642343,Digunakan sendiri untuk operasional,,,RAYA JOGLO,KAV NO.5,SRENGSENG,KEMBANGAN,KOTA JAKARTA BARAT,DKI JAKARTA,"0,5",E2AA275BFF592BB7E0531561F20A8614,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"1587494,213"
107,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,7,Rumah Negara Golongan I Tipe A Permanen,RUMAH DINAS ESL I JGOLO,RUMAH JABATAN,Baik,RUMAH DINAS ESL I JGOLO RUMAH JABATAN,2007-12-18,"651.531.000,00",529368937,Digunakan sendiri untuk operasional,,,RAYA JOGLO,KAV NO.6,SRENGSENG,KEMBANGAN,KOTA JAKARTA BARAT,DKI JAKARTA,"0,5",E2AA275BFF402BB7E0531561F20A8614,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"1277652,291"
108,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,8,Rumah Negara Golongan I Tipe A Permanen,RUMAH DINAS ESL I JGOLO,RUMAH JABATAN,Baik,RUMAH DINAS ESL I JGOLO RUMAH JABATAN,2007-12-18,"1.393.653.000,00",1186951292,Digunakan sendiri untuk operasional,,,RAYA JOGLO,KAV NO.7,SRENGSENG,KEMBANGAN,KOTA JAKARTA BARAT,DKI JAKARTA,"0,5",E2AA275BFF782BB7E0531561F20A8614,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"2732953,533"
110,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,11,Rumah Negara Golongan I Tipe A Permanen,RUMAH DINAS ES-IB,RUMAH JABATAN,Baik,RUMAH DINAS ES-IB RUMAH JABATAN,2008-12-13,"509.376.000,00",416196507,Digunakan sendiri untuk operasional,,,RAYA JOGLO,KAV NO.9,SRENGSENG,KEMBANGAN,KOTA JAKARTA BARAT,DKI JAKARTA,"0,5",E2AA275BFF5B2BB7E0531561F20A8614,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"998886,336"
116,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,17,Rumah Negara Golongan I Tipe A Permanen,RUMAH DINAS ES-IB,RUMAH JABATAN,Baik,RUMAH DINAS ES-IB RUMAH JABATAN,2008-12-13,"492.206.000,00",402168320,Digunakan sendiri untuk operasional,,,RAYA JOGLO,KAV NO.15,SRENGSENG,KEMBANGAN,KOTA JAKARTA BARAT,DKI JAKARTA,"0,5",E2AA275BFF5A2BB7E0531561F20A8614,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"965215,966"
120,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,74,Rumah Negara Golongan I Tipe A Permanen,,RUMAH JABATAN,Baik,RUMAH JABATAN,2011-04-08,"2.103.377.500,00",1870714387,Digunakan sendiri untuk operasional,,,KARTIKA UTAMA,BLOK BE-05,PONDOK PINANG,KEBAYORAN LAMA,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E2AA275BFF772BB7E0531561F20A8614,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"4124723,278"
121,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,75,Rumah Negara Golongan I Tipe A Permanen,-,RUMAH JABATAN,Baik,- RUMAH JABATAN,2011-04-07,"1.057.233.000,00",884859094,Digunakan sendiri untuk operasional,,,KARTIKA UTAMA,BLOK PS-46,PONDOK PINANG,KEBAYORAN LAMA,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E2AA275BFF4B2BB7E0531561F20A8614,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"2073233,913"
123,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,77,Rumah Negara Golongan I Tipe A Permanen,,RUMAH JABATAN,Baik,RUMAH JABATAN,2011-03-30,"1.231.784.000,00",1064421271,Digunakan sendiri untuk operasional,,,KARTKA UTAMA,BLOK PT-30,PONDK PINANG,KEBAYORAN LAMA,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,5",E2AA275BFF442BB7E0531561F20A8614,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"2415528,424"
147,RUMAH NEGARA,004010200450799000KD,BPK PERWAKILAN PROVINSI JAWA BARAT,4010201010,7,Rumah Negara Golongan I Tipe D Permanen,,54,Baik,54,2007-12-10,"416.670.900,00",364168077,Digunakan sendiri untuk operasional,,,Lapangan Tembak No. C7,-,Cikutra,Cibeunying Kidul,KOTA BANDUNG,JAWA BARAT,"0,5",E2AA275BFC3B2C09E0531561F20A836A,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"817091,6349"
151,RUMAH NEGARA,004010300890594000KD,BADAN PEMERIKSA KEUANGAN RI PERWAKILAN PROVINSI JAWA TENGAH,4010201007,2,Rumah Negara Golongan I Tipe C Permanen,Rujab Mega Residence,Permanen,Baik,Rujab Mega Residence Permanen,2011-11-23,"244.287.401,00",184335346,Digunakan sendiri untuk operasional,,,Jl. Lavender Garden Kav. 2,16/06,PUDAK PAYUNG,BANYUMANIK,KOTA SEMARANG,JAWA TENGAH,"0,5",E1063820ADD13F1EE0531661F20A1C14,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"479047,5934"
153,RUMAH NEGARA,004010300890594000KD,BADAN PEMERIKSA KEUANGAN RI PERWAKILAN PROVINSI JAWA TENGAH,4010201007,4,Rumah Negara Golongan I Tipe C Permanen,Rujab Mega Residence,Permanen,Baik,Rujab Mega Residence Permanen,2011-11-23,"217.291.000,00",160005257,Digunakan sendiri untuk operasional,,,Jl. Lavender Garden Kav. 4,16/06,PUDAK PAYUNG,BANYUMANIK,KOTA SEMARANG,JAWA TENGAH,"0,5",E1063820ADBF3F1EE0531661F20A1C14,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"426107,651"
175,RUMAH NEGARA,004010400003030000KD,BPK RI PERWAKILAN PROVINSI DIY (01. SEKJEN),4010201010,7,Rumah Negara Golongan I Tipe D Permanen,,50,Baik,50,2006-12-15,"194.163.100,00",160746205,Digunakan sendiri untuk operasional,,,Perum BPK Demakan,34/09,TEGALREJO,TEGALREJO,KOTA YOGYAKARTA,DI YOGYAKARTA,"0,5",E1063826BEB13BB9E0531561F20A0A4B,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"380753,8391"
178,RUMAH NEGARA,004010400003030000KD,BPK RI PERWAKILAN PROVINSI DIY (01. SEKJEN),4010201010,10,Rumah Negara Golongan I Tipe D Permanen,,50,Baik,50,2006-12-15,"204.844.000,00",171815819,Digunakan sendiri untuk operasional,,,DEMAKAN,34/09,TEGALREJO,TEGALREJO,KOTA YOGYAKARTA,DI YOGYAKARTA,"0,5",E1063826BEA13BB9E0531561F20A0A4B,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"401699,084"
232,RUMAH NEGARA,004010751003051000KD,BPK Perwakilan Provinsi Sumatera Utara,4010201010,9,Rumah Negara Golongan I Tipe D Permanen,Rumah,Permanen Luks,Baik,Rumah Permanen Luks,1984-07-30,"90.776.000,00",76134710,Digunakan sendiri untuk operasional,,,Jl. Taska No. 17,01/01,Helvetia Timur,Helvetia Timur,KOTA MEDAN,SUMATERA UTARA,"0,5",E106384827203F88E0531661F20A2985,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"178011,736"
236,RUMAH NEGARA,004010751003051000KD,BPK Perwakilan Provinsi Sumatera Utara,4010201010,15,Rumah Negara Golongan I Tipe D Permanen,,Permanen Luks,Baik,Permanen Luks,1984-07-30,"90.776.000,00",50727767,Digunakan sendiri untuk operasional,,,Jl. Taska No. 19,,Helvetia Timur,Helvetia Timur,KOTA MEDAN,SUMATERA UTARA,"0,5",E106384827403F88E0531661F20A2985,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"178011,736"
238,RUMAH NEGARA,004010751003051000KD,BPK Perwakilan Provinsi Sumatera Utara,4010201010,17,Rumah Negara Golongan I Tipe D Permanen,,50,Baik,50,1984-07-30,"203.753.700,00",157677239,Digunakan sendiri untuk operasional,,,Jl. Taska No. 21,,Helvetia Timur,Helvetia Timur,KOTA MEDAN,SUMATERA UTARA,"0,5",E1063848271E3F88E0531661F20A2985,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"399561,0057"
245,RUMAH NEGARA,004010800890572000KD,BPK PERWAKILAN PROVINSI SUMATERA BARAT,4010201010,2,Rumah Negara Golongan I Tipe D Permanen,RUJAB ES IV,D Permanen,Baik,RUJAB ES IV D Permanen,2014-12-31,"212.594.000,00",178669430,Digunakan sendiri untuk operasional,,,Komp. Green Riverside Blok E-2,002/VII,Koto Baru,Lubuk Begalung,KOTA PADANG,SUMATERA BARAT,"0,5",E2AA275C590A2B74E0531561F20A28CD,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"416896,834"
248,RUMAH NEGARA,004010800890572000KD,BPK PERWAKILAN PROVINSI SUMATERA BARAT,4010201010,5,Rumah Negara Golongan I Tipe D Permanen,RUJAB ES IV,D Permanen,Baik,RUJAB ES IV D Permanen,2014-12-31,"229.534.000,00",192906235,Digunakan sendiri untuk operasional,,,Komp. Green Riverside Blok F-7,002/VII,Koto Baru,Lubuk Begalung,KOTA PADANG,SUMATERA BARAT,"0,5",E2AA275C59112B74E0531561F20A28CD,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"450116,174"
264,RUMAH NEGARA,004010900450780000KD,BPK PERWAKILAN PROVINSI RIAU,4010202016,2,Rumah Negara Golongan II Berupa Mess/Asrama,Mess Rawawiri,,Baik,Mess Rawawiri,2013-12-31,"2.001.875.000,00",1689082025,Digunakan sendiri untuk operasional,,,Jl. Rawa Wiri No. 27,RT 2 RW 9,,Bukit Raya,KOTA PEKANBARU,RIAU,"0,5",E10638580CD53C57E0531561F20AF428,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"3925676,875"
269,RUMAH NEGARA,004011000445243000KD,BPK PERWAKILAN PROVINSI JAMBI,4010201010,19,Rumah Negara Golongan I Tipe D Permanen,,D Permanen,Baik,D Permanen,2012-12-31,"227.059.000,00",189215830,Digunakan sendiri untuk operasional,,,Telaga Biru No. E.4.1,21,Selamat,Telanaipura,JAMBI,JAMBI,"0,5",E106387BD9CBDACDE0531261F20A13C9,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"445262,699"
271,RUMAH NEGARA,004011000445243000KD,BPK PERWAKILAN PROVINSI JAMBI,4010201010,21,Rumah Negara Golongan I Tipe D Permanen,,D Permanen,Baik,D Permanen,2012-12-31,"227.059.000,00",189215830,Digunakan sendiri untuk operasional,,,Telaga Biru No. E.4.4,21,Selamat,Telanaipura,JAMBI,JAMBI,"0,5",E106387BD9C7DACDE0531261F20A13C9,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"445262,699"
272,RUMAH NEGARA,004011000445243000KD,BPK PERWAKILAN PROVINSI JAMBI,4010201010,22,Rumah Negara Golongan I Tipe D Permanen,,D Permanen,Baik,D Permanen,2012-12-31,"227.059.000,00",189215830,Digunakan sendiri untuk operasional,,,Telaga Biru No. E.4.3,21,Selamat,Telanaipura,JAMBI,JAMBI,"0,5",E106387BD9C6DACDE0531261F20A13C9,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"445262,699"
274,RUMAH NEGARA,004011000445243000KD,BPK PERWAKILAN PROVINSI JAMBI,4010202016,1,Rumah Negara Golongan II Berupa Mess/Asrama,Mess Pegawai,,Baik,Mess Pegawai,2013-10-11,"1.902.251.000,00",1464733270,Digunakan sendiri untuk operasional,,,Jalan Telaga Biru,RT 21/RW 07,Selamat,Danau Sipin,KOTA JAMBI,JAMBI,"0,5",E106387BD9BEDACDE0531261F20A13C9,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"3730314,211"
278,RUMAH NEGARA,004011100579213000KD,BPK RI PERWAKILAN PROVINSI SUMATERA SELATAN,4010201007,2,Rumah Negara Golongan I Tipe C Permanen,Rumah Dinas Eleson III,70,Baik,Rumah Dinas Eleson III 70,2002-11-19,"145.144.000,00",114041710,Digunakan sendiri untuk operasional,,,KOMP. TJ. PENGHARAPAN NO.09 PALEMBANG,039/014,8 ILIR,ILIR TIMUR II,KOTA PALEMBANG,SUMATERA SELATAN,"0,5",E10638649E4E3C69E0531561F20A24E5,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"284627,384"
281,RUMAH NEGARA,004011100579213000KD,BPK RI PERWAKILAN PROVINSI SUMATERA SELATAN,4010201010,2,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Eselon IV,54,Baik,Rumah Dinas Eselon IV 54,2002-11-19,"111.968.000,00",87974855,Digunakan sendiri untuk operasional,,,KOMP. TJ. PENGHARAPAN NO.15 PALEMBANG,039/014,8 ILIR,ILIR TIMUR II,KOTA PALEMBANG,SUMATERA SELATAN,"0,5",E10638649E333C69E0531561F20A24E5,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"219569,248"
283,RUMAH NEGARA,004011100579213000KD,BPK RI PERWAKILAN PROVINSI SUMATERA SELATAN,4010201010,4,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Eselon IV,54,Baik,Rumah Dinas Eselon IV 54,2003-10-21,"151.857.017,00",123090941,Digunakan sendiri untuk operasional,,,KOMP. TJ. PENGHARAPAN NO.19 PALEMBANG,039/014,8 ILIR,ILIR TIMUR II,KOTA PALEMBANG,SUMATERA SELATAN,"0,5",E10638649E3D3C69E0531561F20A24E5,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"297791,6103"
285,RUMAH NEGARA,004011100579213000KD,BPK RI PERWAKILAN PROVINSI SUMATERA SELATAN,4010201010,6,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Eselon IV,54,Baik,Rumah Dinas Eselon IV 54,2003-10-21,"181.498.639,00",146924368,Digunakan sendiri untuk operasional,,,KOMP. TJ. PENGHARAPAN NO.23 PALEMBANG,039/014,8 ILIR,ILIR TIMUR II,KOTA PALEMBANG,SUMATERA SELATAN,"0,5",E10638649E503C69E0531561F20A24E5,BMN PREFEREN DIPA K/L,1,"0,5",01/01/2027,"355918,8311"
10,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,3,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK A-2,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK A-2 Permanen,2000-01-01,"1.004.521.000,00",772708465,Digunakan sendiri untuk dinas jabatan,,,JALAN KOMPLEK DPR RI BLOK A-2,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED7847D06CB30BE0531561F20A4B72,BMN PREFEREN DIPA K/L,1,"0,3",01/01/2027,"1969865,681"
11,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,4,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK A-3,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK A-3 Permanen,2000-01-01,"1.004.521.000,00",772708465,Digunakan sendiri untuk dinas jabatan,,,JALAN KOMPLEK DPR RI BLOK A-3,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED7846A13BB30BE0531561F20A4B72,BMN PREFEREN DIPA K/L,1,"0,3",01/01/2027,"1969865,681"
12,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,5,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK A-4,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK A-4 Permanen,2000-01-01,"1.004.521.000,00",772708465,Digunakan sendiri untuk dinas jabatan,,,JALAN KOMPLEK DPR RI BLOK A-4,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED7847C3BBB30BE0531561F20A4B72,BMN PREFEREN DIPA K/L,1,"0,3",01/01/2027,"1969865,681"
13,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,6,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK A-5,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK A-5 Permanen,2000-01-01,"1.004.521.000,00",772708465,Digunakan sendiri untuk dinas jabatan,,,JALAN KOMPLEK DPR RI BLOK A-5,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784B85A1B30BE0531561F20A4B72,BMN PREFEREN DIPA K/L,1,"0,3",01/01/2027,"1969865,681"
14,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,7,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAM BLOK A-6,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAM BLOK A-6 Permanen,2000-01-01,"1.004.521.000,00",772708465,Digunakan sendiri untuk dinas jabatan,,,JALAN KOMPLEK DPR RI BLOK A-6,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED78483D8AB30BE0531561F20A4B72,BMN PREFEREN DIPA K/L,1,"0,3",01/01/2027,"1969865,681"
16,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,9,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK A-8,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK A-8 Permanen,2000-01-01,"1.004.521.000,00",772708465,Digunakan sendiri untuk dinas jabatan,,,JALAN KOMPLEK DPR RI BLOK A-8,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784A1CBFB30BE0531561F20A4B72,BMN PREFEREN DIPA K/L,1,"0,3",01/01/2027,"1969865,681"
17,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,10,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK A-9,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK A-9 Permanen,2000-01-01,"1.004.521.000,00",772708465,Digunakan sendiri untuk dinas jabatan,,,JALAN KOMPLEK DPR RI BLOK A-9,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED7848A992B30BE0531561F20A4B72,BMN PREFEREN DIPA K/L,1,"0,3",01/01/2027,"1969865,681"
18,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,11,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK A-10,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK A-10 Permanen,2000-01-01,"1.004.521.000,00",772708465,Digunakan sendiri untuk dinas jabatan,,,JALAN KOMPLEK DPR RI BLOK A-10,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED7848A998B30BE0531561F20A4B72,BMN PREFEREN DIPA K/L,1,"0,3",01/01/2027,"1969865,681"
19,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,12,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK A-11,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK A-11 Permanen,2000-01-01,"1.004.521.000,00",772708465,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK A-11,RT.001 / RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED78484090B30BE0531561F20A4B72,BMN PREFEREN DIPA K/L,1,"0,3",01/01/2027,"1969865,681"
20,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,13,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK A-12,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK A-12 Permanen,2000-01-01,"1.004.521.000,00",772708465,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK A-12,RT.001 / RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784A1CBDB30BE0531561F20A4B72,BMN PREFEREN DIPA K/L,1,"0,3",01/01/2027,"1969865,681"
21,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,14,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK A-13,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK A-13 Permanen,2000-01-01,"1.004.521.000,00",772708465,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK A-13,RT.001 / RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED7847C3B8B30BE0531561F20A4B72,BMN PREFEREN DIPA K/L,1,"0,3",01/01/2027,"1969865,681"
22,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,15,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK A-14,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK A-14 Permanen,2000-01-01,"1.004.521.000,00",772708465,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK A-14,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED7848A994B30BE0531561F20A4B72,BMN PREFEREN DIPA K/L,1,"0,3",01/01/2027,"1969865,681"
23,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,16,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK A-15,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK A-15 Permanen,2000-01-01,"1.004.521.000,00",772708465,Digunakan sendiri untuk dinas jabatan,,,JL.KOMPLEK DPR RI BLOK A-15,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED78484095B30BE0531561F20A4B72,BMN PREFEREN DIPA K/L,1,"0,3",01/01/2027,"1969865,681"
